Year;Comp name;Event;Info
2002;Arnold Strongman Challenge;Max Deadlift;Standard bar
2002;Arnold Strongman Challenge;Hummer Push;3628 kg / 12 meters
2002;Arnold Strongman Challenge;Timber Carry;370 kg / 11 meters / No straps
2003;Arnold's Strength Summit;Apollon's Wheels;166 kg / Cleans-Continentals-Presses
2003;Arnold's Strength Summit;Max Deadlift;Hummer tires
2003;Arnold's Strength Summit;Medicine Ball Toss;23 kg
2003;Arnold's Strength Summit;Timber Carry;392 kg / 11 meters / No straps
2004;Arnold's Strongest Man;Apollon's Wheels;166 kg
2004;Arnold's Strongest Man;Max Deadlift;Hummer tires
2004;Arnold's Strongest Man;Medicine Ball Toss;23 kg / For height
2004;Arnold's Strongest Man;Timber Carry;392 kg / 11 meters / 30 second time limit / No straps
2005;Arnold's Strongest Man;Apollon's Wheels;166 kg / Cleans-Continentals-Presses
2005;Arnold's Strongest Man;Max Deadlift;Hummer tires
2005;Arnold's Strongest Man;Medicine Ball Toss;23 kg / For height
2005;Arnold's Strongest Man;Dumbbell Press;78 kg / 90 second time limit
2005;Arnold's Strongest Man;Timber Carry;392 kg / 11 meters / No straps
2006;Arnold Strongman Classic;Timber Carry;392 kg / 11 meters / No straps
2006;Arnold Strongman Classic;Weight Throw;25 kg / For height, no bar (weight must hit suspended plate)
2006;Arnold Strongman Classic;Apollon's Wheels;166 kg / 120 second time limit
2006;Arnold Strongman Classic;Super Yoke;507 kg / 11 meters
2006;Arnold Strongman Classic;Max Deadlift;Hummer tires
2006;Arnold Strongman Classic;Dumbbell Press;90 kg / 90 second time limit
2007;Arnold Strongman Classic;Timber Carry;392 kg / 11 meters / No straps
2007;Arnold Strongman Classic;Apollon's Wheels;166 kg / Cleans-Continentals-Presses
2007;Arnold Strongman Classic;Super Yoke;507 kg / 11 meters
2007;Arnold Strongman Classic;Max Deadlift;Hummer tires
2007;Arnold Strongman Classic;Dumbbell Press;90 kg / 90 second time limit
2008;Arnold Strongman Classic;Timber Carry;392 kg / 11 meters / No straps
2008;Arnold Strongman Classic;Apollon's Wheels;166 kg / 120 second time limit
2008;Arnold Strongman Classic;Super Yoke;507 kg / 11 meters
2008;Arnold Strongman Classic;Max Deadlift;Hummer tires
2008;Arnold Strongman Classic;Dumbbell Press;90 kg / 90 second time limit
2009;Arnold Strongman Classic;Timber Carry;392 kg / 11 meters / No straps
2009;Arnold Strongman Classic;Apollon's Wheels;166 kg / 120 second time limit / Cleans-Continentals-Presses
2009;Arnold Strongman Classic;Super Yoke;507 kg / 11 meters
2009;Arnold Strongman Classic;Max Deadlift;Hummer tires
2009;Arnold Strongman Classic;Dumbbell Press;90 kg / 90 second time limit
